state,LEAID,tot_pop,young_pop,young_pov_pop
AL,00190,"33,897","6,611",622
AL,00005,"22,527","4,668","1,042"
AL,00030,"16,964","2,772",765
AL,00060,"8,840","1,485",436
AL,00090,"21,477","2,977","1,054"
AL,00100,"8,515","1,510",256
AL,00120,"26,397","4,149",545
AL,00180,"5,812",962,263
AL,00210,"77,497","10,732","1,173"
AL,00240,"59,095","10,444","1,607"
AL,00270,"223,776","36,648","5,478"
AL,00300,"12,214","1,412",488
AL,00330,"25,754","4,306","1,852"
AL,00360,"22,477","3,342",940
AL,00390,"198,624","27,013","11,105"
AL,00420,"52,114","9,099","1,420"
AL,00012,"10,161","1,950",467
AL,00450,"5,268",860,249
AL,00480,"10,320","1,622",690
AL,00510,"18,884","3,189","1,073"
AL,00540,"54,643","9,364","1,963"
AL,00600,"27,617","4,127","1,161"
AL,00630,"24,996","3,555",882
AL,00188,"6,430","1,150",379
AL,00660,"45,274","8,016","1,621"
AL,00690,"12,533","1,831",587
AL,00720,"17,688","2,779",808
AL,00750,"14,190","2,172",576
AL,00780,"14,859","2,552",525
AL,00810,"20,870","3,669",711
AL,00840,"22,589","3,351",677
AL,00870,"11,328","1,668",555
AL,00900,"10,450","1,257",362
AL,00930,"21,921","3,540",807
AL,00960,"13,083","2,287",621
AL,00990,"17,484","2,895",372
AL,01020,"71,982","12,000","2,017"
AL,01050,"15,553","2,598",544
AL,01080,"10,703","1,640",380
AL,01110,"20,042","3,395","1,292"
AL,01140,"56,893","10,335","2,447"
AL,01170,"58,064","9,722","1,732"
AL,01200,"7,041","1,279",435
AL,01230,"71,233","11,594","3,258"
AL,01260,"4,831",717,229
AL,01290,"81,665","13,511","2,128"
AL,01320,"29,084","5,443","1,053"
AL,01350,"31,431","5,263","1,568"
AL,01380,"62,384","9,967","1,750"
AL,01410,"12,750","2,411",788
AL,01440,"9,898","1,709",678
AL,01470,"14,883","2,356",590
AL,01530,"40,390","5,376","1,475"
AL,01560,"14,920","2,820",657
AL,00001,"4,482",846,34
AL,01590,"21,192","3,665",837
AL,01620,"33,859","5,269","1,785"
AL,01640,"5,981",917,266
AL,01660,"20,720","3,479",913
AL,01680,"7,629","1,214",595
AL,00202,"15,518","1,874",284
AL,01690,"8,607","1,351",275
AL,01710,"14,754","2,546",807
AL,01720,"8,338","1,366",352
AL,01730,"14,712","2,749",265
AL,01740,"17,456","2,709",621
AL,01760,"26,144","4,425",371
AL,00007,"91,562","15,886","1,265"
AL,01770,"37,753","6,662","1,538"
AL,01800,"218,862","30,996","5,106"
AL,01830,"37,140","5,810","1,510"
AL,01860,"14,327","1,685",364
AL,01890,"14,461","2,401",541
AL,01920,"238,629","41,021","9,110"
AL,01950,"13,689","2,192",498
AL,01980,"6,924","1,165",493
AL,02010,"53,653","8,449","1,450"
AL,02040,"33,090","5,470","1,179"
AL,02070,"61,299","10,653","1,987"
AL,00011,"12,261","2,042",434
AL,02100,"64,873","10,153","1,347"
AL,02130,"4,037",626,235
AL,02160,"9,965","1,606",690
AL,02190,"18,895","2,417",988
AL,00008,"58,216","12,485",613
AL,02220,"134,320","23,675","2,342"
AL,02250,"7,918","1,274",397
AL,02310,"23,414","3,669",883
AL,00006,"49,555","8,887","1,955"
AL,00003,"2,110",282,20
AL,02350,"5,158","1,056",455
AL,02370,"383,819","64,980","15,009"
AL,02400,"19,648","3,113","1,010"
AL,02430,"215,948","36,398","11,826"
AL,02480,"50,952","8,777","1,172"
AL,02490,"22,331","5,143",192
AL,02520,"16,345","2,865",407
AL,02550,"6,927","1,079",179
AL,02580,"31,530","5,012","1,260"
AL,02610,"6,763","1,161",367
AL,02635,"23,754","4,276",857
AL,02640,"16,468","2,702",686
AL,00194,"24,587","4,066",404
AL,02650,"28,785","4,583",863
AL,02670,"8,355","1,256",603
AL,02700,"38,681","7,095","2,288"
AL,02730,"18,801","2,655",760
AL,02760,"6,383","1,066",329
AL,02790,"15,274","2,498",752
AL,00195,"9,376","2,116",186
AL,02820,"16,673","2,556",683
AL,02850,"5,316",911,293
AL,02880,"26,933","4,519","1,177"
AL,02910,"10,821","2,117",542
AL,00185,"16,103","3,014",367
AL,00189,"6,721","1,153",109
AL,02940,"15,633","2,373",572
AL,02970,"17,577","3,235","1,551"
AL,03000,"9,447","1,441",452
AL,03030,"139,011","24,730","2,170"
AL,03062,"60,235","10,413","1,547"
AL,03090,"12,164","1,700",797
AL,03120,"12,482","2,008",515
AL,03150,"15,740","2,483",846
AL,03180,"48,934","7,359","1,765"
AL,03210,"22,429","3,271",796
AL,03240,"9,269","1,515",370
AL,03270,"6,061","1,223",561
AL,03300,"5,072",810,204
AL,03330,"17,717","2,118",558
AL,00013,"25,769","5,466",273
AL,03360,"98,821","12,034","2,756"
AL,03390,"128,186","23,109","3,510"
AL,03420,"9,093","1,345",326
AL,03430,"38,764","7,934",300
AL,03450,"50,357","8,240","2,114"
AL,03480,"15,147","2,396",712
AL,03510,"10,446","1,719",857
AL,03540,"6,644","1,030",190
AL,03580,"15,767","2,315",575
AK,00050,"2,290",453,99
AK,00010,482,27,5
AK,00007,"3,398",192,26
AK,00180,"288,121","49,862","5,237"
AK,00525,"1,555",288,62
AK,00020,"6,233","1,709",438
AK,00030,838,133,25
AK,00730,"1,317",150,32
AK,00800,496,76,13
AK,00070,"2,501",487,75
AK,00060,"2,550",406,41
AK,00090,"1,032",171,17
AK,00100,"4,808",902,106
AK,00770,"1,593",209,14
AK,00120,"2,210",438,65
AK,00600,"95,593","15,871","1,379"
AK,00130,466,119,27
AK,00270,"2,071",276,46
AK,00300,918,136,41
AK,00330,378,66,22
AK,00520,"1,084",237,82
AK,00210,"31,973","5,012",392
AK,00360,541,112,24
AK,00005,950,264,130
AK,00390,"59,767","9,895","1,272"
AK,00150,"13,754","2,177",254
AK,00450,717,123,23
AK,00480,"12,787","2,277",175
AK,00760,"1,421",330,83
AK,00485,"1,416",282,79
AK,00001,"15,531","3,880","1,016"
AK,00003,"6,812","1,999",793
AK,00510,"110,686","21,940","2,286"
AK,00540,353,76,17
AK,00570,"3,632",790,113
AK,00610,"10,972","2,267",299
AK,00625,"7,560","2,004",503
AK,00630,97,12,2
AK,00660,"3,356",551,51
AK,00670,464,85,8
AK,00240,"8,407","1,281",118
AK,00690,"1,132",129,10
AK,00700,"1,506",190,41
AK,00710,"2,562",647,251
AK,00680,598,161,68
AK,00715,243,41,13
AK,00720,"4,113",351,15
AK,00780,"3,895",673,47
AK,00810,"2,055",300,47
AK,00840,704,111,19
AK,00775,"1,200",243,49
AK,00862,"1,956",389,123
AK,00004,"1,579",445,143
AZ,00450,"164,853","9,391",871
AZ,00480,814,153,51
AZ,00520,"3,064",339,124
AZ,00600,"97,690","14,488","4,362"
AZ,00630,680,72,16
AZ,04770,"6,708","1,058",355
AZ,00680,"148,262","19,112","3,345"
AZ,00720,"4,520",204,43
AZ,00750,133,10,6
AZ,00790,"63,952","6,627","1,084"
AZ,00840,"1,338",183,38
AZ,00870,591,37,11
AZ,00910,"2,037",251,81
AZ,00960,"56,664","8,501","1,346"
AZ,01000,"2,247",502,32
AZ,01050,"33,493","3,780","1,128"
AZ,01080,"5,350",770,159
AZ,00212,"8,137","1,187",260
AZ,01160,"7,102",161,45
AZ,01180,"6,486",654,222
AZ,01230,54,1,0
AZ,06580,"13,633","2,059",513
AZ,01260,897,46,8
AZ,01290,840,40,11
AZ,01330,647,112,20
AZ,01380,"54,165","7,990","1,129"
AZ,01410,"99,950","5,882",598
AZ,01500,"42,758","3,308","1,200"
AZ,01600,"13,011","1,993",444
AZ,01650,"2,829",298,85
AZ,01680,"121,868","20,403","5,310"
AZ,01710,"69,349","8,962","1,528"
AZ,01740,"97,609","5,137",756
AZ,01760,"31,873","4,109",278
AZ,00001,"64,823","7,237",543
AZ,01810,"6,821","1,346",521
AZ,01870,"281,693","52,583","3,887"
AZ,01920,578,27,5
AZ,01940,"18,931","4,329","1,474"
AZ,00003,"25,242","3,638",621
AZ,00004,"4,235",348,61
AZ,02130,197,26,3
AZ,00021,"4,180","1,425",574
AZ,00082,"69,420","2,706",718
AZ,02190,"2,687",313,130
AZ,02220,"2,212",141,26
AZ,02250,"31,752","1,135",153
AZ,02320,"20,439","4,173",794
AZ,02370,"31,770","2,873",524
AZ,02400,"45,457","6,562","1,583"
AZ,02430,"66,162","7,587","1,786"
AZ,02460,90,2,1
AZ,07750,"273,261","47,748","4,154"
AZ,02490,389,45,13
AZ,02530,"20,386","4,237","1,623"
AZ,02600,"2,539",454,82
AZ,02690,"199,637","35,640","4,067"
AZ,02710,74,7,0
AZ,02760,881,89,28
AZ,02790,"5,984",902,260
AZ,02820,474,67,18
AZ,02860,"100,565","14,018","1,641"
AZ,02920,"111,453","19,279","2,115"
AZ,03010,"30,713","5,160","1,426"
AZ,03150,"5,264",804,48
AZ,03200,"2,598",602,146
AZ,03040,"24,806","1,981",164
AZ,03060,"35,432","5,871","1,225"
AZ,03080,"2,718",455,157
AZ,03240,"26,275","3,986","1,211"
AZ,03290,"6,201","1,300",421
AZ,03310,"2,341",567,218
AZ,03400,"215,029","43,498","2,830"
AZ,03420,"111,027","16,123","4,131"
AZ,03450,"362,762","20,499","3,774"
AZ,03500,"10,018","1,626",280
AZ,03550,"2,422",209,54
AZ,03660,"1,231",75,21
AZ,03730,"1,050",170,58
AZ,00026,"4,377",485,167
AZ,03780,"91,988","20,540","1,109"
AZ,08460,91,17,1
AZ,03820,"9,845","1,985",648
AZ,03870,"63,314","8,946","1,339"
AZ,03900,346,36,11
AZ,03950,"6,471","1,447",446
AZ,03960,"43,839","7,010","2,140"
AZ,03990,"46,399","9,878",751
AZ,04010,"1,783",387,112
AZ,04060,"10,232","2,435",949
AZ,00295,"74,025","9,495","2,463"
AZ,04170,"1,141",123,28
AZ,04200,90,12,5
AZ,04230,"162,780","17,388","1,422"
AZ,04280,"61,954","6,702","1,319"
AZ,04290,"56,155","8,922","1,497"
AZ,04320,"41,331","5,821",600
AZ,04380,"108,189","14,093","1,235"
AZ,04410,"3,238",360,129
AZ,04440,"53,196","8,684","1,245"
AZ,04500,"63,651","5,252",625
AZ,04530,"1,459",186,43
AZ,04570,"4,708",753,170
AZ,04630,"105,106","18,088","1,946"
AZ,04720,"64,954","12,707","1,390"
AZ,04820,"5,974",721,161
AZ,04860,515,162,59
AZ,04920,441,85,11
AZ,04970,"503,824","81,485","12,683"
AZ,05030,"6,815","1,203",293
AZ,05070,"36,005","1,450",215
AZ,05100,73,5,1
AZ,05190,"24,222","2,100",559
AZ,05220,"1,027",97,24
AZ,05320,"6,737","1,443",113
AZ,05340,"1,753",190,45
AZ,05400,"15,754","1,747",592
AZ,05430,"1,224",283,69
AZ,05460,"10,162","1,720",261
AZ,05530,"21,050","4,351","1,543"
AZ,05640,"16,763",847,117
AZ,05670,"42,850","3,467",825
AZ,05730,563,67,35
AZ,05820,"12,625","2,720",687
AZ,05850,"3,117",469,68
AZ,08430,175,58,23
AZ,05880,"10,192","1,438",283
AZ,05930,"271,950","41,194","4,262"
AZ,05980,"9,306","1,488",424
AZ,06000,"1,386",95,17
AZ,06030,"3,177",108,19
AZ,06070,"22,870","2,709",606
AZ,06120,"1,361",333,116
AZ,06150,"1,931",119,38
AZ,06210,"78,148","11,387","2,048"
AZ,06250,"255,761","44,277","4,842"
AZ,06300,"59,684","5,613","1,668"
AZ,06330,"735,135","40,797","8,180"
AZ,06360,"7,146",110,23
AZ,06440,"4,278","1,002",218
AZ,06510,"2,925",213,46
AZ,00023,"6,743","1,469",611
AZ,06630,920,132,44
AZ,06730,"63,841","5,650",648
AZ,06780,"3,758",130,44
AZ,06810,"67,010","15,241",753
AZ,06850,"3,096",539,113
AZ,06870,"7,153","1,440",506
AZ,06900,"3,948",581,58
AZ,06930,85,19,4
AZ,07020,"7,762","1,370",282
AZ,07080,"121,641","17,425","3,972"
AZ,07130,"7,398","1,449",295
AZ,07200,"8,374","1,380",290
AZ,07170,"14,574","3,255",423
AZ,07240,"17,514","3,281",770
AZ,07300,"31,730","6,811",812
AZ,00005,"2,014",78,24
AZ,06960,"8,187","2,131",654
AZ,07380,51,6,5
AZ,07430,672,75,23
AZ,06740,"5,174",982,320
AZ,07500,"1,744",371,71
AZ,07520,"21,902","4,367",903
AZ,07530,"17,079",637,110
AZ,07570,"241,115","29,888","2,052"
AZ,09733,"17,755","1,015",184
AZ,07630,"1,350",123,41
AZ,07680,121,24,7
AZ,07700,"17,700","2,837",738
AZ,01460,"49,236","7,699","1,456"
AZ,07770,526,59,16
AZ,07820,"13,094","2,975",669
AZ,07860,"2,733",358,91
AZ,07890,"28,394","3,859","1,115"
AZ,07920,"1,791",111,18
AZ,08020,"3,720",562,117
AZ,08080,"4,073",900,197
AZ,08130,"4,402",532,96
AZ,08170,"89,394","17,729","5,154"
AZ,08230,"3,104",417,84
AZ,08280,"11,458","1,692",115
AZ,08310,"162,866","12,623","2,624"
AZ,08340,"325,646","14,835","1,579"
AZ,08410,"8,334","1,740",343
AZ,08490,"17,331","2,794",620
AZ,08520,"203,103","13,504","1,914"
AZ,08550,"15,485","1,594",392
AZ,08600,"7,162",866,302
AZ,05760,"1,636",105,39
AZ,08640,"2,440",140,59
AZ,08680,"15,060","3,193",952
AZ,08800,"485,276","68,796","15,583"
AZ,08820,"18,995","3,421",550
AZ,08850,"69,156","14,580",953
AZ,08880,218,31,7
AZ,08910,"3,403",150,35
AZ,00022,"2,101",208,68
AZ,09030,174,6,1
AZ,09060,"251,735","29,643","6,362"
AZ,09090,"3,146",233,60
AZ,09120,489,49,24
AZ,09160,"13,992","3,455","1,284"
AZ,09190,"16,664","1,480",213
AZ,09250,"7,228","1,285",296
AZ,09310,"6,146",914,214
AZ,09360,733,60,16
AZ,09390,"4,586",579,204
AZ,09430,"10,710","2,198",693
AZ,09460,"11,091","2,125",675
AZ,09510,"1,139",78,26
AZ,09540,858,81,22
AZ,09570,736,71,45
AZ,09600,"102,345","10,630","2,750"
AZ,09630,"202,470","12,059","2,523"
AR,02250,"15,672","3,035",574
AR,02280,"2,812",512,113
AR,02430,"15,357","2,019",415
AR,02550,"1,446",300,32
AR,02580,"8,812","1,427",326
AR,02610,"6,538","1,171",280
AR,02670,"2,947",429,161
AR,02700,"6,707","1,187",262
AR,02730,"2,392",424,124
AR,00019,"20,513","3,609",727
AR,02790,"7,005","1,326",135
AR,02820,"3,038",574,119
AR,00032,"2,893",524,129
AR,02880,"18,569","3,527",598
AR,02960,"32,484","5,964",671
AR,03060,"114,236","22,489","1,264"
AR,03090,"5,142",988,140
AR,03150,"11,077","2,081",468
AR,03240,"6,455","1,061",250
AR,03300,"3,194",545,152
AR,03320,"14,216","2,707",971
AR,03450,"7,458","1,219",295
AR,03480,"2,671",489,105
AR,03630,"3,635",590,217
AR,03640,"12,865","2,664",320
AR,03690,"56,974","10,725","1,091"
AR,03710,"4,627",825,196
AR,03750,"55,763","10,937","1,224"
AR,03770,"3,406",540,162
AR,03840,"3,741",374,97
AR,06060,"16,782","2,733",790
AR,03960,"3,922",641,118
AR,04050,"8,404","1,442",321
AR,00070,"5,367","1,010",242
AR,04080,"4,747",799,165
AR,06690,"5,161",983,228
AR,04200,"4,906",891,122
AR,04350,"3,129",482,156
AR,04380,"14,510","2,669",554
AR,00067,"4,633",747,155
AR,04410,"8,244","1,278",296
AR,04560,"4,095",646,156
AR,04590,"77,462","11,862","1,616"
AR,00009,"6,121","1,000",243
AR,00405,"4,808",944,234
AR,04680,"4,516",728,142
AR,04740,"3,314",571,126
AR,07740,"3,337",545,119
AR,04800,"10,500","1,790",512
AR,04860,"3,779",661,125
AR,04890,"3,508",648,115
AR,04930,"10,204","1,807",327
AR,00049,"12,361","2,556",613
AR,00001,"7,854","1,269",281
AR,04980,"3,585",704,98
AR,00072,"2,120",305,91
AR,05170,"3,381",477,169
AR,05190,"3,552",560,124
AR,05340,"2,523",431,97
AR,05430,"8,084","1,427",289
AR,05470,"6,085",911,167
AR,05500,"10,530","1,235",351
AR,05550,"2,357",462,171
AR,05580,"3,860",647,117
AR,00048,"3,148",564,134
AR,05680,"24,485","4,369","1,062"
AR,05760,"5,726","1,130",117
AR,00068,"5,299",836,211
AR,05850,"3,728",609,144
AR,05970,"8,586",813,232
AR,06090,"13,284","2,613",224
AR,06120,"101,795","13,655","1,644"
AR,06150,"7,470","1,005",245
AR,06210,"4,489",791,194
AR,06240,"2,578",452,103
AR,06270,"19,283","2,823","1,086"
AR,06330,"91,710","15,696","3,899"
AR,06360,"5,630","1,129",234
AR,06420,"16,264","1,385",240
AR,04110,"4,679",908,173
AR,06540,"8,516","1,655",207
AR,06630,"5,429",996,158
AR,00029,"4,528",919,217
AR,06840,"16,898","2,380",267
AR,06870,"7,653","1,557",340
AR,06900,"17,888","3,782",371
AR,13080,"20,668","3,719",488
AR,06930,"6,340","1,082",155
AR,06990,"21,335","4,027",491
AR,07110,"3,752",655,174
AR,07140,"2,486",458,63
AR,07170,"5,498",935,221
AR,00042,"7,979","1,340",306
AR,07230,"3,721",523,78
AR,07290,"4,416",772,145
AR,07320,"5,937","1,020",90
AR,07350,"6,623","1,170",282
AR,07380,"21,371","3,513",576
AR,07530,"4,440",670,147
AR,07560,"11,756","1,711",365
AR,07620,"3,700",728,183
AR,07680,"10,686","2,057",968
AR,07710,"2,349",443,120
AR,07770,"12,630","1,807",491
AR,00071,"3,765",711,202
AR,07840,"13,696","2,611",653
AR,07860,"3,564",751,167
AR,07890,"29,888","3,951","1,037"
AR,07990,"3,500",588,172
AR,08130,"15,915","2,740",565
AR,00021,"4,990",735,219
AR,13230,"4,172",770,178
AR,00419,"38,712","6,808","1,951"
AR,08240,"5,255",768,196
AR,07920,"7,358",791,142
AR,08280,"38,099","6,895","2,142"
AR,08340,"3,028",530,84
AR,08490,"2,463",409,108
AR,00065,"4,458",631,204
AR,08610,"27,122","4,585",755
AR,08640,"7,276","1,268",420
AR,08670,"18,833","2,956",346
AR,08700,"7,129","1,240",228
AR,08730,"4,965",898,159
AR,00082,"7,892","1,217",324
AR,03420,"3,078",442,111
AR,09360,"8,619","1,103",464
AR,08940,"6,819","1,328",239
AR,09000,"180,511","30,188","8,061"
AR,09060,"9,493","1,609",319
AR,09150,"2,500",427,84
AR,09190,"3,094",554,100
AR,00044,"19,410","2,927",858
AR,09240,"18,160","2,498",665
AR,09270,"2,975",493,141
AR,00046,"4,959",933,169
AR,09330,"5,357","1,002",201
AR,09390,"21,424","4,359",928
AR,09420,"3,244",526,147
AR,00016,"3,908",733,116
AR,09510,"2,892",493,164
AR,09540,"6,069",916,156
AR,09570,"3,369",676,170
AR,09600,"2,978",478,126
AR,09630,"5,987","1,179",384
AR,09720,"5,228",796,165
AR,09750,"12,678","2,126",578
AR,00020,"3,901",723,165
AR,09780,"3,303",587,168
AR,09840,"10,277","1,691",447
AR,09990,"3,884",469,121
AR,10080,"3,208",604,92
AR,00043,"33,801","4,478",737
AR,10170,"4,177",707,168
AR,10200,"12,271","1,796",577
AR,10260,"4,193",686,187
AR,10290,"3,815",625,118
AR,10380,"9,103","1,771",401
AR,10410,"2,250",368,83
AR,10440,"29,460","4,606","1,071"
AR,00030,"2,533",419,107
AR,00023,"11,156","1,478",414
AR,10560,"3,852",553,104
AR,10680,"53,368","9,118","2,853"
AR,10920,"2,768",426,87
AR,10950,"6,817","1,274",442
AR,00073,"3,986",593,144
AR,10980,"1,828",307,73
AR,00076,"4,681",810,243
AR,11010,"10,254","1,736",420
AR,00051,"1,842",302,90
AR,11070,"3,293",558,124
AR,00017,"22,283","4,082",678
AR,11130,"6,685",972,188
AR,11220,"2,768",612,81
AR,03030,"10,377","2,306",203
AR,11340,"4,947",793,166
AR,11370,"5,361",882,186
AR,00026,"37,185","5,648","1,742"
AR,11610,"12,413","2,240",483
AR,11700,"6,710","1,489",243
AR,11730,"1,211",209,34
AR,11760,"12,871","2,697",279
AR,11820,"4,987",884,254
AR,11850,"131,336","22,485","3,586"
AR,11880,"5,097",789,147
AR,04370,"3,733",624,143
AR,00045,"5,324",938,280
AR,00012,"4,389",866,165
AR,08400,"7,406","1,293",317
AR,11970,"100,971","18,616","2,121"
AR,12000,"4,373",798,163
AR,12060,"38,586","6,081","1,283"
AR,12090,"4,852",841,207
AR,12180,"2,248",383,55
AR,09480,"6,435",938,260
AR,12210,"33,010","5,355",751
AR,00015,"26,480","4,576",618
AR,12420,"4,074",456,133
AR,12450,"25,119","4,932",642
AR,12480,"4,003",650,158
AR,12510,"6,202","1,074",183
AR,12520,"15,648","2,646",568
AR,10320,"4,649",732,139
AR,12570,"3,169",533,108
AR,12540,"5,690","1,055",249
AR,12630,"1,465",308,62
AR,12660,"111,546","23,500","3,402"
AR,00028,"8,194","1,366",290
AR,12930,"2,590",423,118
AR,12960,"9,193","1,649",382
AR,13110,"32,016","5,343","1,459"
AR,00047,"9,478","1,681",493
AR,00079,"6,276","1,089",273
AR,13350,"4,692",945,163
AR,13380,"12,758","2,934",275
AR,13410,"33,307","6,049","1,120"
AR,13530,"16,339","3,390",358
AR,13560,"3,198",536,132
AR,13680,"8,249","1,430",364
AR,00006,"8,042","1,439",350
AR,13930,"14,596","2,220",562
AR,14010,"5,666",976,125
AR,08040,"25,446","4,921","1,799"
AR,14040,"4,384",539,181
AR,00041,"2,357",435,75
AR,04020,"9,327","1,788",304
AR,14020,"3,616",640,154
AR,04170,"3,710",735,130
AR,14140,"13,755","2,540",449
AR,14370,"2,818",497,78
AR,14400,"2,564",451,69
AR,14430,"13,484","2,435",573
AR,14490,"6,241",951,239
CA,01620,"104,902","16,948","2,170"
CA,01650,"118,464","6,451",201
CA,01680,"2,889",298,38
CA,00001,"12,054","1,832",247
CA,01710,"66,172","7,970","1,800"
CA,01770,"76,707","11,292",955
CA,01860,"19,864","3,033",199
CA,01890,756,37,5
CA,00153,"164,163","16,992","3,069"
CA,01950,"60,117","7,931","1,411"
CA,01980,557,111,47
CA,02010,"1,270",348,120
CA,02070,"1,235",170,38
CA,02100,"18,810","2,140",158
CA,02160,"54,577","5,824",493
CA,02220,"3,113",513,198
CA,02250,"1,748",132,24
CA,02310,"109,436","13,025","1,861"
CA,02360,"1,631",268,57
CA,02370,592,84,28
CA,02430,"113,034","21,091","3,255"
CA,02450,"41,259","4,667",572
CA,02610,"200,832","18,182","2,941"
CA,02630,"396,044","32,474","4,338"
CA,02700,"40,616","2,462",356
CA,02730,"3,180",504,115
CA,02760,"6,111",641,122
CA,02820,"401,422","29,422","6,501"
CA,02850,"119,523","21,723","3,726"
CA,00017,"84,782","16,602","3,133"
CA,02970,"56,504","9,582","1,069"
CA,03000,"15,114",866,227
CA,03060,"4,789",504,44
CA,03090,"3,751",305,64
CA,03180,"7,295","1,189",277
CA,91136,"9,892","1,525",161
CA,03270,"19,970","3,684","1,212"
CA,03300,"37,357","5,605",536
CA,03420,"37,019","5,268","1,409"
CA,03480,"34,994","2,984",323
CA,03600,"68,311","11,222","1,883"
CA,03610,549,124,33
CA,03630,"203,084","31,751","10,835"
CA,03690,"70,163","12,289","2,507"
CA,03720,"1,451",128,9
CA,03750,"1,974",283,58
CA,03780,"1,242",136,35
CA,03840,"35,544","5,602","1,171"
CA,03870,"9,688","1,381",78
CA,04020,"35,692","7,850","2,215"
CA,04080,"11,385","1,035",268
CA,04110,"25,875","4,452",833
CA,04200,"5,776",567,50
CA,04230,"19,238","2,681",597
CA,04260,"18,599","2,263",816
CA,04290,"66,533","12,152","1,234"
CA,04350,"3,880",344,41
CA,04500,"1,795",165,42
CA,04380,"26,829","2,759",360
CA,04440,"82,321","14,487","2,146"
CA,04530,"43,448","4,785",116
CA,04560,112,26,9
CA,04620,"27,067","4,318",231
CA,04650,"9,976",713,54
CA,04740,"121,824","10,758",811
CA,04800,"81,544","8,337",615
CA,04830,"32,197","4,620",610
CA,04860,345,46,18
CA,04890,519,39,6
CA,91137,"5,495",533,119
CA,04950,"1,965",329,42
CA,04980,"1,898",193,32
CA,00031,309,51,11
CA,05010,"1,574",226,50
CA,05040,"3,607",718,132
CA,01409,"13,431","2,077",317
CA,05190,211,37,7
CA,05220,"4,563",326,72
CA,05240,"13,393","1,724",211
CA,05250,233,21,0
CA,05280,755,77,15
CA,05400,"2,329",192,59
CA,05490,386,25,8
CA,05520,"2,132",139,25
CA,05610,"62,178","10,128",906
CA,05640,"3,230",219,17
CA,01426,"19,522","3,239",257
CA,05700,"3,376",372,109
CA,05730,371,38,5
CA,05790,"27,088","4,239",924
CA,05820,"29,589","2,168",420
CA,05880,"42,751","7,237",444
CA,05910,"67,423","9,292",719
CA,05940,"19,822",793,110
CA,06000,571,59,23
CA,06030,"3,069",413,65
CA,06060,"8,627",732,45
CA,06090,"3,632",456,64
CA,06100,887,115,17
CA,06270,"42,811","5,307",326
CA,06330,"6,067",710,72
CA,06360,"49,928","5,488",724
CA,06420,452,58,12
CA,06450,"105,298","14,665","1,329"
CA,06480,"31,517","3,669",169
CA,06510,740,60,32
CA,06540,557,88,19
CA,06570,"18,677","3,087",561
CA,06580,"1,762",327,82
CA,06690,"1,950",214,27
CA,06720,"1,823",309,73
CA,06750,"15,051","1,732",160
CA,06780,"25,221","3,531",235
CA,06810,"170,934","19,908","4,122"
CA,06870,"26,399","3,636",612
CA,06900,"39,536","8,262","2,347"
CA,06960,894,102,16
CA,06990,"8,674","1,272",334
CA,07020,"6,702",945,100
CA,07140,"30,604","3,527",134
CA,07170,"4,979",433,97
CA,07200,"97,540","9,493",676
CA,07230,"226,835","10,686",543
CA,07260,720,65,19
CA,07350,205,13,2
CA,07410,995,121,27
CA,07440,"359,286","58,795","3,457"
CA,07470,"11,887",898,131
CA,07500,"78,010","12,651",824
CA,07530,"22,843","3,032",260
CA,07560,"17,953","2,606",306
CA,00067,"8,732","1,489",460
CA,07680,"16,453","1,967",406
CA,07740,"28,877","2,332",176
CA,07770,308,24,6
CA,07800,"52,008","9,144",575
CA,07840,"2,783",185,22
CA,07900,"29,489","6,041",830
CA,07920,"145,122","8,270","1,704"
CA,07950,"41,559","4,916",634
CA,07970,"81,612","17,952","3,802"
CA,07980,"10,130","1,663",240
CA,08010,"59,668","4,245",761
CA,08070,"56,263","4,528",528
CA,08130,"57,699","12,641","2,584"
CA,08160,"424,047","26,555","2,997"
CA,08190,"36,994","5,944",661
CA,08250,"4,506",699,132
CA,00116,"4,694",721,144
CA,08340,"1,170",73,12
CA,08370,"118,233","16,666","2,307"
CA,08460,"191,340","33,685","3,397"
CA,08520,"22,542","2,676",667
CA,08550,"24,173","1,230",270
CA,08580,"1,899",324,49
CA,08610,"314,805","29,727","3,479"
CA,08640,178,15,2
CA,08700,"2,562",236,40
CA,08760,"43,119","6,130",547
CA,08850,423,62,29
CA,08880,"1,735",143,29
CA,08970,"11,089","1,633",135
CA,09030,"232,800","47,085","5,888"
CA,09070,"88,283","19,279","4,992"
CA,09120,"25,333","4,914","1,484"
CA,00049,"9,374",695,117
CA,09240,187,11,5
CA,09270,"3,364",188,20
CA,09300,"5,385",510,64
CA,09330,"6,347",484,57
CA,09390,"118,407","23,221","3,741"
CA,09450,"9,415","1,079",118
CA,09480,"6,517",613,104
CA,09510,251,47,20
CA,09570,"7,869","1,518",238
CA,09620,"154,617","31,613","7,569"
CA,09640,"134,997","21,652","1,631"
CA,09690,"23,356","3,504",993
CA,09780,"15,339","2,033",476
CA,09810,"18,002","1,183",237
CA,09850,"285,185","54,298","5,740"
CA,09870,"22,325","2,917",152
CA,09940,"56,319","7,879",732
CA,09990,"8,917","1,108",152
CA,10050,"79,735","12,984","1,800"
CA,16300,"31,441","3,521",527
CA,10230,778,79,17
CA,10260,"40,001","5,628",396
CA,10290,"140,124","19,669",577
CA,10320,"9,199",787,98
CA,10350,"17,654","4,113","1,362"
